GT	Gx	Gy	Gz	Temperature	Gyrox	Gyroy	Gyroz
 0.993	 0.107	 0.987	 0.023	 22.4	-2.808	 0.000	 0.000
 0.992	 0.109	 0.986	 0.021	 22.3	-2.670	 0.000	 0.000
 0.986	 0.102	 0.981	 0.026	 22.3	-3.067	 0.000	 0.000
 0.985	 0.103	 0.979	 0.028	 22.4	-3.067	 0.000	 0.000
 0.991	 0.108	 0.985	 0.034	 22.4	-3.189	 0.000	 0.000
 0.990	 0.103	 0.984	 0.031	 22.3	-3.067	 0.000	 0.000
 0.993	 0.101	 0.987	 0.029	 22.3	-2.991	 0.000	 0.000
 0.992	 0.106	 0.986	 0.024	 22.4	-2.869	 0.000	 0.000
 0.992	 0.105	 0.986	 0.031	 22.3	-2.960	 0.000	 0.000
 0.991	 0.094	 0.986	 0.024	 22.3	-2.823	 0.000	 0.000
 0.988	 0.097	 0.983	 0.018	 22.3	-2.808	 0.000	 0.000
 0.991	 0.104	 0.985	 0.024	 22.2	-3.098	 0.000	 0.000
 0.987	 0.101	 0.982	 0.023	 22.4	-3.357	 0.000	 0.000
 0.990	 0.099	 0.985	 0.021	 22.4	-3.372	 0.000	 0.000
