GT	Gx	Gy	Gz	Temperature	Gyrox	Gyroy	Gyroz
 1.024	 1.023	 0.003	-0.043	 21.5	-38.773	-26.978	-14.053
 1.022	 1.021	 0.001	-0.046	 21.6	-38.635	-26.810	-13.733
 1.028	 1.027	 0.003	-0.039	 21.5	-38.681	-26.901	-14.099
 1.022	 1.021	 0.005	-0.041	 21.6	-38.788	-26.947	-14.572
 1.030	 1.029	 0.000	-0.042	 21.6	-38.910	-26.917	-13.504
 1.018	 1.017	 0.004	-0.040	 21.5	-38.727	-26.794	-13.855
 1.025	 1.024	 0.001	-0.048	 21.6	-38.696	-26.993	-14.145
 1.027	 1.026	 0.002	-0.035	 21.5	-38.757	-26.810	-14.053
 1.026	 1.026	 0.003	-0.031	 21.6	-38.712	-26.917	-13.748
 1.026	 1.025	-0.005	-0.047	 21.5	-38.712	-26.886	-13.824
 1.024	 1.023	 0.003	-0.045	 21.5	-38.834	-26.871	-14.420
 1.026	 1.025	 0.005	-0.041	 21.5	-38.620	-26.932	-13.947
 1.023	 1.022	-0.000	-0.033	 21.5	-38.757	-26.871	-13.687
 1.027	 1.026	 0.005	-0.040	 21.5	-38.696	-26.764	-14.038
 1.025	 1.024	-0.001	-0.047	 21.6	-38.773	-26.947	-14.191
 1.027	 1.026	-0.003	-0.046	 21.5	-38.803	-26.901	-14.099
 1.023	 1.022	 0.001	-0.035	 21.6	-38.513	-26.764	-13.519
 1.030	 1.029	-0.000	-0.047	 21.6	-38.773	-26.794	-13.962
 1.024	 1.023	 0.000	-0.045	 21.5	-38.544	-26.855	-14.572
 1.020	 1.020	 0.004	-0.040	 21.6	-38.757	-26.993	-13.733
 1.023	 1.022	 0.007	-0.043	 21.5	-38.773	-26.962	-13.504
 1.025	 1.024	 0.002	-0.039	 21.6	-38.788	-26.779	-14.496
 1.025	 1.025	 0.004	-0.038	 21.5	-38.742	-26.947	-14.252
 1.029	 1.028	 0.005	-0.042	 21.6	-38.635	-26.962	-13.748
 1.024	 1.023	 0.008	-0.040	 21.5	-38.910	-26.840	-13.626
 1.029	 1.028	-0.001	-0.045	 21.5	-38.818	-26.932	-14.374
 1.030	 1.029	 0.004	-0.044	 21.6	-38.742	-26.886	-14.206
 1.030	 1.030	 0.001	-0.041	 21.5	-38.803	-26.794	-13.626
 1.028	 1.027	 0.000	-0.039	 21.6	-38.696	-26.810	-13.870
 1.028	 1.027	 0.003	-0.049	 21.6	-38.712	-26.855	-14.404
 1.023	 1.022	-0.000	-0.042	 21.6	-38.742	-26.932	-14.053
 1.024	 1.024	 0.007	-0.034	 21.6	-38.742	-26.993	-13.672
 1.027	 1.027	 0.003	-0.038	 21.5	-38.727	-26.840	-13.870
 1.022	 1.021	-0.000	-0.046	 21.6	-38.712	-26.825	-14.450
 1.024	 1.023	 0.000	-0.040	 21.6	-38.605	-26.932	-13.885
 1.026	 1.025	 0.001	-0.036	 21.6	-38.742	-26.901	-13.626
 1.028	 1.027	 0.006	-0.043	 21.6	-38.651	-26.672	-14.160
 1.023	 1.022	 0.004	-0.045	 21.5	-38.712	-26.825	-14.465
 1.020	 1.019	 0.002	-0.039	 21.6	-38.803	-26.779	-13.733
 1.025	 1.024	-0.000	-0.042	 21.6	-38.712	-26.978	-13.672
 1.024	 1.024	 0.003	-0.038	 21.5	-38.712	-26.840	-14.206
 1.023	 1.022	-0.002	-0.042	 21.6	-38.864	-26.855	-14.160
 1.026	 1.025	 0.001	-0.043	 21.6	-38.544	-26.962	-13.748
 1.025	 1.024	 0.006	-0.047	 21.6	-38.605	-26.794	-13.901
 1.024	 1.023	 0.003	-0.043	 21.5	-38.712	-26.810	-14.343
 1.025	 1.024	 0.005	-0.038	 21.5	-38.788	-26.657	-14.160
 1.029	 1.028	 0.006	-0.043	 21.5	-38.651	-26.978	-13.535
 1.024	 1.023	-0.001	-0.041	 21.6	-38.681	-26.627	-13.977
 1.028	 1.027	 0.007	-0.046	 21.6	-38.696	-26.825	-14.450
 1.026	 1.025	 0.003	-0.042	 21.6	-38.635	-26.840	-13.947
 1.034	 1.033	 0.003	-0.049	 21.6	-38.696	-26.840	-13.596
 1.032	 1.031	-0.002	-0.040	 21.6	-38.818	-26.855	-14.267
 1.023	 1.022	 0.003	-0.044	 21.6	-38.651	-26.932	-14.282
 1.027	 1.026	 0.002	-0.034	 21.6	-38.666	-26.810	-13.840
 1.020	 1.019	-0.002	-0.045	 21.5	-38.727	-26.825	-13.657
 1.029	 1.028	 0.003	-0.033	 21.6	-38.727	-26.779	-14.252
 1.022	 1.021	-0.001	-0.048	 21.5	-39.001	-26.840	-14.359
 1.030	 1.029	 0.009	-0.046	 21.6	-38.773	-26.733	-13.763
 1.026	 1.025	-0.001	-0.038	 21.6	-38.940	-26.947	-13.718
 1.032	 1.032	 0.001	-0.039	 21.5	-38.910	-26.993	-14.206
